session_id;exercise_name;model_number;elem_type;plantuml;count
gpt4.1;case_15_robots;model002;Class;Abstract Robot;1
gpt4.1;case_15_robots;model002;Attributes;Robot.robotId;1
gpt4.1;case_15_robots;model002;Class;CleaningRobot;1
gpt4.1;case_15_robots;model002;Class;TransportRobot;1
gpt4.1;case_15_robots;model002;Class;Task;1
gpt4.1;case_15_robots;model002;Attributes;Task.taskCode;1
gpt4.1;case_15_robots;model002;Class;TaskExecution;1
gpt4.1;case_15_robots;model002;Attributes;TaskExecution.executionRefCode;1
gpt4.1;case_15_robots;model002;Attributes;TaskExecution.startTime;1
gpt4.1;case_15_robots;model002;Attributes;TaskExecution.locationCategory;1
gpt4.1;case_15_robots;model002;Class;Enumeration LocationCategory;1
gpt4.1;case_15_robots;model002;Attributes;LocationCategory.corridor;1
gpt4.1;case_15_robots;model002;Attributes;LocationCategory.room;1
gpt4.1;case_15_robots;model002;Inheritance;CleaningRobot --|> Robot;1
gpt4.1;case_15_robots;model002;Inheritance;TransportRobot --|> Robot;1
gpt4.1;case_15_robots;model002;Association Class;(Robot, Task) .. TaskExecution;1
