session_id;exercise_name;model_number;elem_type;plantuml;count
P004;university_courses;model001;Class;Student;1
P004;university_courses;model001;Attributes;Student.studentCode;1
P004;university_courses;model001;Class;Course;1
P004;university_courses;model001;Attributes;Course.courseName;1
P004;university_courses;model001;Class;TeachingAssistant;1
P004;university_courses;model001;Attributes;TeachingAssistant.firstName;1
P004;university_courses;model001;Attributes;TeachingAssistant.lastName;1
P004;university_courses;model001;Class;Assignment;1
P004;university_courses;model001;Attributes;Assignment.details;1
P004;university_courses;model001;Attributes;Assignment.responsibilities;1
P004;university_courses;model001;Class;LabSection;1
P004;university_courses;model001;Attributes;LabSection.location;1
P004;university_courses;model001;Attributes;LabSection.startTime;1
P004;university_courses;model001;Attributes;LabSection.endTime;1
P004;university_courses;model001;Association;"TeachingAssistant ""1"" -- ""0..*"" Assignment";1
P004;university_courses;model001;Association;"Assignment ""1"" -- ""1"" Course";1
P004;university_courses;model001;Composition;"Course ""1"" *-- ""1..*"" LabSection";1
P004;university_courses;model001;Association;"Course ""*"" -- ""*"" Student";1
P004;university_courses;model001;Class;Enrollment;1
P004;university_courses;model001;Attributes;Enrollment.enrollmentDate;1
P004;university_courses;model001;Association Class;(Course, Student) .. Enrollment;1
